Employee Number,Employee Name,State,DOB,Sex,Department,Position,Manager Name
1106026933,"Roup,Simon",MA,04/05/1963,Male,Information Technlogy,Manager,Janet King
1001175250,"Ruiz, Ricardo",CA,01/04/1964,Male,Information Technlogy,Manager,Jennifer Zamora
1307060199,"Ait Sidi, Karthikeyan   ",MA,05/05/1975,Male,Information Technlogy,Engineer II,Simon Roup
1010022337,"Carr, Claudia  N",MA,06/06/1986,Female,Information Technlogy,Engineer II,Simon Roup
1111030266,"Roehrich, Bianca",MA,27/05/1973,Female,Information Technlogy,Engineer II,Simon Roup
1412071562,"Favis, Donald  ",CA,30/07/1964,Male,Information Technlogy,Engineer II,Simon Roup
1011022863,"Monroe, Peter",TX,10/05/1956,Male,Information Technlogy,Manager,Debra Houlihan
1108028108,"Lajiri,  Jyoti",TX,23/04/1986,Male,Information Technlogy,Engineer II,Peter Monroe
1301052347,"Warfield, Sarah",TX,05/02/1978,Female,Information Technlogy,Engineer II,Peter Monroe
1411071312,"Daniele, Ann  ",TX,18/01/1952,Female,Information Technlogy,Engineer II,Peter Monroe
904013591,"Semizoglou, Jeremiah  ",TX,02/09/1983,Male,Information Technlogy,Engineer II,Peter Monroe
1308060959,"South, Joe",TX,09/09/1965,Male,Information Technlogy,Engineer II,Peter Monroe
905013738,"Goble, Taisha",MA,23/10/1971,Female,Information Technlogy,Engineer I,Simon Roup
1411071506,"Turpin, Jumil",TX,31/03/1969,Male,Information Technlogy,Engineer I,Peter Monroe
1111030148,"Salter, Jason",MA,17/12/1987,Male,Information Technlogy,Engineer I,Simon Roup
1102024056,"Becker, Renee",MA,04/04/1986,Female,Information Technlogy,Engineer I,Simon Roup
906014183,"Shepard, Anita ",TX,14/04/1981,Female,Information Technlogy,Engineer I,Peter Monroe
1108027853,"Petrowsky, Thelma",MA,16/09/1984,Female,Information Technlogy,Engineer I,Simon Roup
1203032255,"Rogers, Ivan",MA,26/08/1986,Male,Information Technlogy,Engineer I,Simon Roup
1212052023,"Bacong, Alejandro ",TX,01/07/1988,Male,Information Technlogy,Engineer I,Peter Monroe
1102023965,"Pearson, Randall",MA,09/05/1984,Male,Information Technlogy,Engineer I,Simon Roup
1410071156,"Hernandez, Daniff",MA,08/07/1986,Male,Information Technlogy,Engineer I,Simon Roup
1003018246,"Johnson, Noelle ",MA,11/07/1986,Female,Information Technlogy,Engineer I,Simon Roup
1407068885,"Roby, Lori ",MA,10/11/1981,Female,Information Technlogy,Engineer I,Simon Roup
1012023013,"Merlos, Carlos",TX,18/06/1987,Male,Information Technlogy,Engineer I,Peter Monroe
1105025718,"Horton, Jayne",MA,21/02/1984,Female,Information Technlogy,Engineer I,Simon Roup
1102024173,"Cisco, Anthony",TX,24/11/1989,Male,Information Technlogy,Engineer I,Peter Monroe
1110029732,"Zhou, Julia",MA,24/02/1979,Female,Information Technlogy,Engineer I,Simon Roup
1501072093,"Galia, Lisa",CA,07/06/1968,Female,Information Technlogy,Engineer I,Eric Dougall
808010278,"Simard, Kramer",MA,02/08/1970,Male,Information Technlogy,Engineer I,Simon Roup
1301052902,"Clayton, Rick",CA,09/05/1985,Male,Information Technlogy,Engineer I,Eric Dougall
1988299991,"Gonzalez, Maria",TX,16/04/1981,Female,Information Technlogy,Engineer I,Peter Monroe
1203032263,"Soto, Julia ",CA,03/12/1973,Female,Information Technlogy,Engineer I,Eric Dougall
602000312,"Lindsay, Leonara ",CA,10/05/1988,Female,Information Technlogy,Engineer I,Eric Dougall
1101023540,"Dolan, Linda",TX,18/07/1988,Female,Information Technlogy,Engineer I,Peter Monroe
1406068403,"Murray, Thomas",TX,07/04/1988,Male,Information Technlogy,Engineer I,Simon Roup
1104025466,"Tredinnick, Neville ",TX,05/05/1988,Male,Information Technlogy,Engineer I,Peter Monroe
1001956578,"Morway, Tanya",TX,04/04/1979,Female,Information Technlogy,Engineer I,Peter Monroe
1103024679,"Liebig, Ketsia",CA,26/10/1981,Female,Production       ,Manager,Jennifer Zamora
1307060077,"Gray, Elijiah  ",CA,07/11/1981,Male,Production       ,Manager,Jennifer Zamora
1104025179,"Demita, Carla",CA,25/02/1951,Female,Production       ,Technician II,Kelley Spirea
1006020066,"Bramante, Elisa",MA,19/03/1953,Female,Production       ,Director,Janet King
1303054329,"Beak, Kimberly  ",CA,17/04/1966,Female,Production       ,Technician II,Kelley Spirea
1308060622,"Gerke, Melisa",CA,15/05/1970,Female,Production       ,Technician II,Elijiah Gray
1407069061,"Sutwell, Barbara",CA,15/08/1968,Female,Production       ,Technician II,Elijiah Gray
1301052449,"Burkett, Benjamin ",CA,19/08/1977,Male,Production       ,Technician II,Kelley Spirea
1403066194,"Beatrice, Courtney ",CA,27/10/1970,Female,Production       ,Technician II,Elijiah Gray
1109029531,"Panjwani, Nina",CA,05/01/1959,Female,Production       ,Technician II,Elijiah Gray
1411071406,"Peters, Lauren",CA,17/08/1966,Female,Production       ,Technician II,Kelley Spirea
1107027351,"Miller, Brannon",TX,08/10/1981,Male,Production       ,Manager,Debra Houlihan
1106026462,"Sahoo, Adil",CA,26/04/1966,Male,Production       ,Technician II,Kelley Spirea
1106026896,"Stoica, Rick",CA,14/03/1985,Male,Production       ,Technician I,Kelley Spirea
1406068241,"Harrell, Ludwick",CA,09/02/1982,Male,Production       ,Technician I,Elijiah Gray
1011022883,"Alagbe,Trina",CA,27/09/1988,Female,Production       ,Technician I,Elijiah Gray
1011022814,"Volk, Colleen",CA,06/03/1986,Female,Production       ,Technician I,Kelley Spirea
1211050793,"Rhoads, Thomas",CA,22/07/1982,Male,Production       ,Technician I,Elijiah Gray
1311063114,"Carey, Michael  ",CA,02/02/1983,Male,Production       ,Technician I,Kelley Spirea
1411071212,"Gonzalez, Cayo",TX,29/09/1969,Male,Production       ,Technician II,Brannon Miller
1107027392,"Evensen, April",CA,05/06/1989,Female,Production       ,Technician I,Elijiah Gray
1402065355,"Peterson, Ebonee  ",MA,05/09/1977,Female,Production       ,Manager,Janet King
1410071026,"Wallace, Courtney  E",MA,14/11/1955,Female,Production       ,Manager,Janet King
1403065874,"Immediato, Walter",MA,15/11/1976,Male,Production       ,Manager,Janet King
1303054580,"Bozzi, Charles",MA,03/10/1970,Male,Production       ,Manager,Janet King
1110029990,"Butler, Webster  L",MA,08/09/1963,Male,Production       ,Manager,Janet King
1501072311,"Albert, Michael  ",MA,10/10/1968,Male,Production       ,Manager,Janet King
1001856521,"Oliver, Brooke ",MA,02/11/1952,Female,Production       ,Technician II,Webster Butler
1301052436,"Moumanil, Maliki ",MA,12/01/1974,Male,Production       ,Technician II,Michael Albert
1110029623,"Manchester, Robyn",MA,25/08/1976,Female,Production       ,Technician II,Webster Butler
1403066125,"Blount, Dianna",MA,21/09/1970,Female,Production       ,Technician II,Michael Albert
1108028351,"Gosciminski, Phylicia  ",MA,12/08/1963,Female,Production       ,Technician II,Kissy Sullivan
1103024924,"Hutter, Rosalie",MA,05/07/1972,Female,Production       ,Technician II,Webster Butler
1206038000,"Robinson, Alain  ",TX,01/07/1974,Male,Production       ,Technician II,Amy Dunn
1104025486,"Latif, Mohammed",MA,05/09/1964,Male,Production       ,Technician II,Kissy Sullivan
1012023010,"Woodson, Jason",MA,05/11/1965,Male,Production       ,Technician II,Kissy Sullivan
1012023103,"Sloan, Constance",MA,25/11/1987,Female,Production       ,Technician I,Michael Albert
903013071,"Kirill, Alexandra  ",TX,10/08/1970,Female,Production       ,Technician II,Amy Dunn
1404066739,"Theamstern, Sophia",TX,05/09/1965,Female,Production       ,Technician II,Amy Dunn
1409070255,"Tippett, Jeanette",TX,06/05/1967,Female,Production       ,Technician II,Brannon Miller
1101023839,"Wilber, Barry",TX,09/09/1965,Male,Production       ,Technician II,Amy Dunn
1501072124,"Desimone, Carl ",TX,19/04/1967,Male,Production       ,Technician II,Amy Dunn
1201031032,"MacLennan, Samuel",TX,11/09/1972,Male,Production       ,Technician II,Amy Dunn
1006020020,"Fidelia,  Libby",TX,16/03/1961,Female,Production       ,Technician II,Brannon Miller
1407069280,"Clukey, Elijian",TX,26/08/1980,Male,Production       ,Technician II,Brannon Miller
1404066622,"Harrison, Kara",TX,05/02/1974,Female,Production       ,Technician II,Amy Dunn
1308060754,"Mangal, Debbie",TX,11/07/1974,Female,Production       ,Technician II,Brannon Miller
1405067138,"Squatrito, Kristen",TX,26/03/1973,Female,Production       ,Technician II,Amy Dunn
1201031438,"Jackson, Maryellen",TX,09/11/1972,Female,Production       ,Technician II,Amy Dunn
1204033040,"Ndzi, Horia",TX,28/03/1983,Male,Production       ,Technician I,Amy Dunn
1109029186,"Perry, Shakira",TX,20/07/1986,Female,Production       ,Technician I,Amy Dunn
1212051409,"Bachiochi, Linda",TX,02/11/1990,Female,Production       ,Technician I,Brannon Miller
1209048696,"DiNocco, Lily ",TX,12/02/1989,Female,Production       ,Technician I,Brannon Miller
1001268402,"Ybarra, Catherine ",TX,05/04/1982,Female,Production       ,Technician I,Brannon Miller
1401064327,"Maurice, Shana",TX,22/11/1977,Female,Production       ,Technician II,Amy Dunn
710007555,"Rose, Ashley  ",TX,12/05/1974,Female,Production       ,Technician II,Brannon Miller
1012023152,"Trang, Mei",TX,16/05/1983,Female,Production       ,Technician I,Brannon Miller
1101023394,"Chivukula, Enola",TX,27/08/1983,Female,Production       ,Technician I,Amy Dunn
1311062610,"Kretschmer, John",TX,02/02/1990,Male,Production       ,Technician I,Brannon Miller
1406068293,"Brill, Donna",TX,24/08/1990,Female,Production       ,Technician I,Brannon Miller
1203032357,"Nguyen, Lei-Ming",TX,07/07/1984,Female,Production       ,Technician I,Brannon Miller
1309061015,"Garcia, Raul",TX,15/09/1985,Male,Production       ,Technician I,Brannon Miller
1302053339,"Fernandes, Nilson  ",TX,18/10/1989,Male,Production       ,Technician I,Amy Dunn
1305057440,"Pham, Hong",TX,03/06/1988,Male,Production       ,Technician I,Brannon Miller
1011022887,"Robinson, Elias",TX,28/01/1985,Male,Production       ,Technician I,Brannon Miller
1304055987,"Langton, Enrico",TX,12/09/1986,Male,Production       ,Technician I,Brannon Miller
1001735072,"Pitt, Brad ",TX,23/11/1991,Male,Production       ,Technician I,Amy Dunn
1202031618,"Dobrin, Denisa  S",TX,10/07/1986,Female,Production       ,Technician I,Amy Dunn
1204032927,"Girifalco, Evelyn",TX,05/08/1990,Female,Production       ,Technician I,Amy Dunn
1308060366,"Billis, Helen",TX,09/01/1989,Female,Production       ,Technician I,Brannon Miller
1408069882,"Ivey, Rose ",TX,28/01/1991,Female,Production       ,Technician I,Brannon Miller
1205033102,"Shields, Seffi",TX,24/08/1985,Female,Production       ,Technician I,Amy Dunn
1211051232,"Zima, Colleen",TX,17/08/1992,Female,Production       ,Technician I,Amy Dunn
1411071302,"Fraval, Maruk ",CA,28/08/1963,Male,Sales,Director,Jennifer Zamora
1409070567,"Costa, Latia",CA,11/08/1968,Female,Sales,Director,Jennifer Zamora
1111030503,"Villanueva, Noah",MA,07/11/1969,Male,Sales,Director,Janet King
1501072180,"Onque, Jasmine",FL,05/11/1950,Female,Sales,Engineer II,Lynn Daneault
1411071481,"Gonzales, Ricardo",ID,10/12/1954,Male,Sales,Engineer II,John Smith
1306057978,"Mullaney, Howard",TX,11/02/1975,Male,Sales,Engineer II,John Smith
1204032843,"Friedman, Gerry",NY,24/02/1969,Male,Sales,Engineer II,John Smith
1504073313,"Buck, Edward",MA,07/07/1975,Male,Sales,Engineer II,Lynn Daneault
1109029264,"Kampew, Donysha    ",PA,11/11/1959,Female,Sales,Engineer II,John Smith
1001167253,"Guilianno, Mike",TN,02/09/1969,Male,Sales,Engineer II,John Smith
1401064637,"Terry, Sharlene ",OR,05/07/1965,Female,Sales,Engineer II,Lynn Daneault
1001084890,Jeremy Prater,NV,05/09/1974,Male,Sales,Engineer II,Lynn Daneault
1302053046,"Gill, Whitney  ",OH,07/10/1981,Female,Sales,Engineer II,John Smith
1504073368,"Bunbury, Jessica",VA,06/01/1964,Female,Sales,Engineer II,John Smith
1502072711,"Riordan, Michael",ND,15/01/1968,Male,Sales,Engineer I,Lynn Daneault
1104025008,"Khemmich, Bartholemew",CO,27/11/1979,Male,Sales,Engineer I,Lynn Daneault
1411071295,"Strong, Caitrin",MT,05/12/1982,Female,Sales,Engineer I,John Smith
1203032099,"Givens, Myriam",IN,22/09/1983,Female,Sales,Engineer I,Lynn Daneault
1402065303,"Daneault, Lynn",CA,19/04/1980,Female,Sales,Engineer I,John Smith
1102024106,"Potts, Xana",TX,29/08/1978,Female,Sales,Engineer I,Lynn Daneault
1203032498,"Del Bosque, Keyla",CA,07/05/1979,Female,Software Engineering,Engineer II,Alex Sweetwater
1303054625,"Martin, Sandra",CA,11/07/1987,Female,Software Engineering,Engineer II,Alex Sweetwater
1101023577,"Carabbio, Judith",TX,04/05/1987,Female,Software Engineering,Engineer II,Alex Sweetwater
1112030979,"Patronick, Luke",MA,20/02/1979,Male,Software Engineering,Engineer II,Alex Sweetwater
1404066949,"Osturnka, Adeel",CA,12/11/1976,Male,Software Engineering,Engineer II,Alex Sweetwater
1403066020,"Ngodup, Shari ",TX,06/03/1967,Female,Software Engineering,Engineer II,Alex Sweetwater
1101023353,"Lydon, Allison",CA,22/10/1975,Female,Software Engineering,Engineer I,Alex Sweetwater
1201031324,"Szabo, Andrew",MA,05/06/1983,Male,Software Engineering,Engineer II,Alex Sweetwater
1012023185,"Saada, Adell",TX,24/07/1986,Female,Software Engineering,Engineer II,Alex Sweetwater
1107027358,"Andreola, Colby",CA,24/05/1979,Female,Software Engineering,Engineer II,Alex Sweetwater
1401064670,"Exantus, Susan",TX,15/05/1987,Female,Software Engineering,Engineer II,Alex Sweetwater
1305057282,"Chan, Lin",CA,02/12/1979,Female,Software Engineering,Engineer I,Alex Sweetwater
1410070998,"Saar-Beckles, Melinda",CA,06/06/1968,Female,Software Engineering,Engineer I,Alex Sweetwater
1102024057,"True, Edward",MA,14/06/1983,Male,Software Engineering,Engineer II,Alex Sweetwater
1307060083,"Baczenski, Rachael  ",TX,01/12/1974,Female,Software Engineering,Engineer I,Alex Sweetwater
1109029366,"Bernstein, Sean",TX,22/12/1970,Male,Software Engineering,Engineer I,Alex Sweetwater
1410071137,"Sparks, Taylor  ",TX,20/07/1968,Female,Software Engineering,Engineer I,Alex Sweetwater
1599991009,"Cockel, James",TX,09/08/1977,Male,Software Engineering,Engineer I,Alex Sweetwater
1001644719,"Sweetwater, Alex",MA,22/11/1956,Male,Software Engineering     ,Manager,Janet King
